max phase,temp,time,del_m
Nb2SnC,600,5.478,1.42136
Nb2SnC,600,6.7098,1.42136
Nb2SnC,600,7.76,1.42718
Nb2SnC,600,7.76,1.42718
Nb2SnC,500,1.231766667,0.06699
Nb2SnC,500,1.961102167,0.14854
Nb2SnC,500,2.139384167,0.42233
Nb2SnC,500,2.317666167,0.69029
Nb2SnC,500,2.431118333,0.92039
Nb2SnC,500,2.690437667,1.15922
Nb2SnC,500,2.706645,1.26699
Nb2SnC,500,3.500810333,1.37476
Nb2SnC,500,4.246353333,1.36602
Nb2SnC,500,5.47812,1.39515
Nb2SnC,500,6.288492667,1.39223
Nb2SnC,500,7.196110167,1.40388
Nb2SnC,500,7.8444085,1.40388
Nb2SnC,500,0.761750333,0.06699
Hf2SnC,600,0.9836065,0.16393
Hf2SnC,600,1.281669167,0.26958
Hf2SnC,600,1.579731667,0.37523
Hf2SnC,600,2.056631833,0.52277
Hf2SnC,600,2.3546945,0.63206
Hf2SnC,600,2.652757,0.72495
Hf2SnC,600,3.2786885,0.85974
Hf2SnC,600,3.576751167,0.91803
Hf2SnC,600,6.348733167,0.92714
Hf2SnC,600,8.137108833,0.92896
Hf2SnC,600,9.627421833,0.93443
Hf2SnC,600,10.5216095,0.93807
Hf2SnC,600,12.30998517,0.93807
Hf2SnC,600,14.39642317,0.94171
Hf2SnC,600,14.39642317,0.94171
Hf2SnC,500,1.6691505,0.0765
Hf2SnC,500,3.338301,0.23862
Hf2SnC,500,4.2026825,0.35883
Hf2SnC,500,4.2026825,0.35155
Hf2SnC,500,4.977645333,0.4663
Hf2SnC,500,6.4977645,0.58106
Hf2SnC,500,7.958271167,0.64117
Hf2SnC,500,7.958271167,0.63206
Hf2SnC,500,10.04470933,0.63024
Hf2SnC,500,11.53502233,0.63024
Hf2SnC,500,13.02533533,0.63024
Hf2SnC,500,14.33681067,0.64481
Hf2SnC,500,15.52906117,0.63934
Hf2SnC,500,16.7213115,0.64299
Hf2SnC,500,2.622950833,0.12568
Ta2AlC,800,2.90488,0.04653
Ta2AlC,800,3.93316,0.06238
Ta2AlC,800,4.70437,0.07376
Ta2AlC,800,5.47558,0.08515
Ta2AlC,800,7.01799,0.10743
